ANO;PERIODO;REPRESENTANTE;CLIENTE;DATAFATURAMENTO;DATAVENCIMENTO;DATAPAGAMENTO;NOTA;SERIE;FATURA;TIPO;PARCELA;VALOR;VALID_COM;VALOR_COM_2;Processo da Comissao;Estorno Inadimplecia?
20;5;134286;8129;17/01/2020;16/05/2020;19/05/2020;1911796;1;32556401;RI;3;303,33;0,06;18,1998;Parcelas Pagas no Mês                                                 ; 
20;5;134286;8129;20/01/2020;19/05/2020;20/05/2020;1912287;1;32615901;RI;3;363;0,06;21,78;Parcelas Pagas no Mês                                                 ; 
20;5;134286;85158;31/12/2019;29/04/2020;04/05/2020;1898511;1;31934401;RI;4;317;0,1;31,7;Parcelas Pagas no Mês                                                 ; 
20;5;134286;91985;04/03/2020;03/05/2020;05/05/2020;1958647;1;35312201;RI;2;98,94;0,08;7,9152;Parcelas Pagas no Mês                                                 ; 
20;5;134286;91985;18/02/2020;18/05/2020;08/05/2020;1942881;1;34485501;RI;2;63,18;0,08;5,0544;Parcelas Pagas no Mês                                                 ; 
20;5;134286;91985;23/01/2020;22/05/2020;08/05/2020;1917030;1;32922401;RI;3;186,15;0,08;14,892;Parcelas Pagas no Mês                                                 ; 
20;5;134286;91982;04/03/2020;03/05/2020;05/05/2020;1958316;1;35303301;RI;2;87,72;0,08;7,0176;Parcelas Pagas no Mês                                                 ; 
20;5;134286;91982;24/01/2020;23/05/2020;08/05/2020;1918027;1;32987601;RI;3;173,54;0,08;13,8832;Parcelas Pagas no Mês                                                 ; 
20;5;134286;91982;20/02/2020;20/05/2020;08/05/2020;1945211;1;34659801;RI;2;44,91;0,08;3,5928;Parcelas Pagas no Mês                                                 ; 
20;5;134286;86922;27/04/2020;27/05/2020;28/05/2020;1981990;1;36430801;RI;1;311,85;0,09;28,0665;Parcelas Pagas no Mês                                                 ; 
20;5;134286;86437;17/10/2019;14/05/2020;18/05/2020;1836700;1;27283801;RI;5;417,3;0,06;25,038;Parcelas Pagas no Mês                                                 ; 
20;5;134286;86437;17/10/2019;14/05/2020;15/05/2020;1836700;1;27283801;RI;6;417,3;0,06;25,038;Parcelas Pagas no Mês                                                 ; 
20;5;134286;86437;21/11/2019;19/05/2020;18/05/2020;1866169;1;29553701;RI;5;121,07;0,07;8,4749;Parcelas Pagas no Mês                                                 ; 
20;5;134286;86437;21/11/2019;19/05/2020;20/05/2020;1866169;1;29553701;RI;6;121,07;0,07;8,4749;Parcelas Pagas no Mês                                                 ; 
20;5;134286;82963;05/11/2019;03/05/2020;18/05/2020;1853315;1;28597601;RI;5;476,28;0,08;38,1024;Parcelas Pagas no Mês                                                 ; 
20;5;134286;82963;18/02/2020;02/07/2020;18/05/2020;1941403;1;34428601;RI;1;134,3;0,08;10,744;Parcelas Pagas no Mês                                                 ; 
20;5;134286;82963;05/11/2019;03/05/2020;05/05/2020;1853315;1;28597601;RI;4;476,29;0,08;38,1032;Parcelas Pagas no Mês                                                 ; 
20;5;134286;86906;04/12/2019;02/05/2020;11/05/2020;1876182;1;30356701;RI;5;303,43;0,09;27,3087;Parcelas Pagas no Mês                                                 ; 
20;5;134286;86906;04/12/2019;02/02/2020;20/05/2020;1876182;1;30356701;RI;2;303,43;0,09;27,3087;Parcelas Pagas no Mês                                                 ; 
